icebreakers,user,likes,dislikes
"Titanic... Oh sorry, not a good icebreaker.",/u/GTFrostbite,0,0
So giraffes... too tall?,/u/dyson6,0,0
"Hedgehogs, man... why can't they just share the hedge?",/u/wizza_hd,0,0
Wot u lookin' at mate? ,/u/PlayaFoSho,0,0
Does this rag smell like chloroform to you?,/u/snayar,0,0
If you had to eat one meal everyday for the rest of your life what would it be?,Anonymous,0,0
Where is the most interesting place you have ever been?,Anonymous,0,0
What was the worst job you've ever had?,Anonymous,0,0
What would be the slogan of your life?,Anonymous,0,0
"If you could live any time in history, what period would you choose and why?",Anonymous,0,0
"If you were a candy bar, which would you be and why?",Anonymous,0,0
If they made a movie of your life what genre would it be?,Anonymous,0,0
Which person in your life do you admire the most?,Anonymous,0,0
If you had the chance to interview someone dead or alive who would that be?,Anonymous,0,0
If you were a superhero what would be your super power?,Anonymous,0,0
"If you could have an endless supply of any food, what would you get?",Anonymous,0,0
"If you were an ice cream flavor, which one would you be and why?",Anonymous,0,0
What's your zodiac sign.,@TheReal__PaulD,0,0
What makes a happy home?,@iamsuperjill,0,0
What age did you lose your virginity,@ILoveNdiba,0,0
Which is your best feature?,Anonymous,0,0
"If you had your human body, but the head of an animal, what animal would you pick?",Anonymous,0,0
"If you were to create a slogan for your life, what would it be? (Example: Eat, drink, and be merry, for tomorrow, we may die.)",Anonymous,0,0
Go about your normal day naked or have smelly breath and body odor for the whole day?,Anonymous,0,0
Never have sex or never find true love?,Anonymous,0,0
What is the weirdest thing you have ever eaten?,Anonymous,0,0
"If you were to change your name, what would you change your name to? Why?",Anonymous,0,0
"What is the most bizarre encounter you have had in life (at work, personal, from travel, with friends)?",Anonymous,0,0
